"","X","SEAMAP","DEPTH","FLUORO","SALINITY","TEMP","CRUISE","depth","pressure","density","ID","strat","storm"
"38",247,"B218",4.2,0.1211,34.9995,24.5564,"RP1",30.4,4.23013834455978,1023.49322243189,"Q50",0.663857485707467,"Harvey"
"39",248,"B218",4.4,0.1185,34.99915,24.5579,"RP1",30.4,4.43157549080917,1023.493376395,"Q50",0.663857485707467,"Harvey"
"40",249,"B218",4.6,0.1215,35.0003,24.55275,"RP1",30.4,4.63301281773354,1023.49666391799,"Q50",0.663857485707467,"Harvey"
"41",250,"B218",4.8,0.1212,35.00585,24.53315,"RP1",30.4,4.83445032525754,1023.50762141574,"Q50",0.663857485707467,"Harvey"
"42",251,"B218",5,0.1229,35.0134,24.51235,"RP1",30.4,5.03588801343141,1023.52044939095,"Q50",0.663857485707467,"Harvey"
"43",379,"B223",3.2,0.5239,36.2388,26.37765,"RP1",54.6,3.22295532285984,1023.86328295176,"Q55",1.10109917772274,"Harvey"
"44",380,"B223",3.4,0.4511,36.23985,26.38225,"RP1",54.6,3.42439156593527,1023.86348535643,"Q55",1.10109917772274,"Harvey"
"45",381,"B223",3.6,0.4575,36.2407,26.383,"RP1",54.6,3.62582798963544,1023.86475433599,"Q55",1.10109917772274,"Harvey"
"46",382,"B223",3.8,0.4667,36.24195,26.3782,"RP1",54.6,3.82726459398547,1023.8680803094,"Q55",1.10109917772274,"Harvey"
"47",383,"B223",4,0.4092,36.2429,26.3742,"RP1",54.6,4.02870137896025,1023.87092681518,"Q55",1.10109917772274,"Harvey"
"48",384,"B223",4.2,0.4543,36.2426,26.37825,"RP1",54.6,4.23013834455978,1023.87028459607,"Q55",1.10109917772274,"Harvey"
"49",385,"B223",4.4,0.4261,36.24145,26.38425,"RP1",54.6,4.43157549080917,1023.86838416223,"Q55",1.10109917772274,"Harvey"
"50",386,"B223",4.6,0.4057,36.2417,26.38155,"RP1",54.6,4.63301281773354,1023.87029154017,"Q55",1.10109917772274,"Harvey"
"51",387,"B223",4.8,0.4039,36.2417,26.3827,"RP1",54.6,4.83445032525754,1023.87079264306,"Q55",1.10109917772274,"Harvey"
"52",388,"B223",5,0.416,36.2417,26.38505,"RP1",54.6,5.03588801343141,1023.87091418264,"Q55",1.10109917772274,"Harvey"
"53",637,"B217",5,0.136,36.13575,26.042,"RP1",60,5.03588801343141,1023.89898850664,"Q49",0.949662792104732,"Harvey"
"54",2328,"B220",2.8,1.1921,21.9756,28.71175,"SEAMAP",5.80813953488372,2.82008337863347,1012.42273050774,"Q59",1.73675923375197,"Harvey"
"55",2329,"B220",3,1.272,21.97425,28.68185,"SEAMAP",5.80813953488372,3.02151926043428,1012.43207045767,"Q59",1.73675923375197,"Harvey"
"56",2330,"B220",3.2,1.2126,21.9743,28.65225,"SEAMAP",5.80813953488372,3.22295532285984,1012.44235328768,"Q59",1.73675923375197,"Harvey"
"57",2331,"B220",3.4,1.2732,21.9799,28.60425,"SEAMAP",5.80813953488372,3.42439156593527,1012.46258823895,"Q59",1.73675923375197,"Harvey"
"58",2332,"B220",3.6,1.2278,21.99075,28.5563,"SEAMAP",5.80813953488372,3.62582798963544,1012.48670876647,"Q59",1.73675923375197,"Harvey"
"59",2333,"B220",3.8,1.2215,22.0114,28.5172,"SEAMAP",5.80813953488372,3.82726459398547,1012.51533701383,"Q59",1.73675923375197,"Harvey"
"60",2334,"B220",4,1.212,22.1661,28.4466,"SEAMAP",5.80813953488372,4.02870137896025,1012.65395680677,"Q59",1.73675923375197,"Harvey"
"61",2335,"B220",4.2,1.1993,22.26575,28.3974,"SEAMAP",5.80813953488372,4.23013834455978,1012.74472922471,"Q59",1.73675923375197,"Harvey"
"62",2336,"B220",4.4,1.2183,22.35695,28.36395,"SEAMAP",5.80813953488372,4.43157549080917,1012.82423272973,"Q59",1.73675923375197,"Harvey"
"63",2337,"B220",4.6,1.2077,22.4049,28.34715,"SEAMAP",5.80813953488372,4.63301281773354,1012.86620138722,"Q59",1.73675923375197,"Harvey"
"64",2338,"B220",4.8,1.1664,22.55505,28.31635,"SEAMAP",5.80813953488372,4.83445032525754,1012.98890064484,"Q59",1.73675923375197,"Harvey"
"65",2339,"B220",5,1.2056,22.6664,28.2955,"SEAMAP",5.80813953488372,5.03588801343141,1013.07950033096,"Q59",1.73675923375197,"Harvey"
"66",2344,"B221",3,0.3303,28.4591,28.2173,"SEAMAP",9.18260869565217,3.02151926043428,1017.4282938868,"Q60",1.07529439366544,"Harvey"
"67",2345,"B221",3.2,0.3758,28.53585,28.22595,"SEAMAP",9.18260869565217,3.22295532285984,1017.48387903445,"Q60",1.07529439366544,"Harvey"
"68",2346,"B221",3.4,0.3907,28.558,28.2282,"SEAMAP",9.18260869565217,3.42439156593527,1017.50061862448,"Q60",1.07529439366544,"Harvey"
"69",2347,"B221",3.6,0.4039,29.233,28.21205,"SEAMAP",9.18260869565217,3.62582798963544,1018.01239630769,"Q60",1.07529439366544,"Harvey"
"70",2348,"B221",3.8,0.4001,29.53235,28.16335,"SEAMAP",9.18260869565217,3.82726459398547,1018.2532731518,"Q60",1.07529439366544,"Harvey"
"71",2349,"B221",4,0.3899,29.61505,28.1383,"SEAMAP",9.18260869565217,4.02870137896025,1018.32418562482,"Q60",1.07529439366544,"Harvey"
"72",2350,"B221",4.2,0.3862,29.6528,28.13825,"SEAMAP",9.18260869565217,4.23013834455978,1018.35336765935,"Q60",1.07529439366544,"Harvey"
"73",2351,"B221",4.4,0.3821,29.67075,28.13275,"SEAMAP",9.18260869565217,4.43157549080917,1018.3694603831,"Q60",1.07529439366544,"Harvey"
"74",2352,"B221",4.6,0.3534,29.69045,28.1317,"SEAMAP",9.18260869565217,4.63301281773354,1018.38543417805,"Q60",1.07529439366544,"Harvey"
"75",2353,"B221",4.8,0.3409,29.697,28.13045,"SEAMAP",9.18260869565217,4.83445032525754,1018.39161481486,"Q60",1.07529439366544,"Harvey"
"76",2354,"B221",5,0.3555,29.70135,28.12925,"SEAMAP",9.18260869565217,5.03588801343141,1018.39613020091,"Q60",1.07529439366544,"Harvey"
"77",2375,"B219",2.6,2.1968,29.34105,28.29545,"SEAMAP",10.220640569395,2.61864767748252,1018.0621618593,"Q58",2.36907142159896,"Harvey"
"78",2376,"B219",2.8,2.541,29.38605,28.2985,"SEAMAP",10.220640569395,2.82008337863347,1018.09576611062,"Q58",2.36907142159896,"Harvey"
