"seamap_stn","storm","salinity_avg","water_temp_avg","lat","lon"
"B217","None",36.25872,28.932085,28,-94.5
"B218","None",35.409745,28.73586,28.5,-94.5
"B219","None",33.773585,28.544655,29,-94.5
"B220","None",28.2974466666667,28.70123,29.5,-94.5
"B221","None",31.1445694444444,28.9590722222222,29,-95
"B222","None",34.8843571428571,28.6861202380952,28.5,-95
"B223","None",35.8347321428571,28.8787273809524,28.08,-95
